Date,Open,High,Low,Close,Adj Close,Volume
8/10/2012,197.869995,199.369995,197.240005,199.289993,166.098129,2600500
8/13/2012,198.880005,199.979996,197.789993,199.009995,165.864792,2418300
8/14/2012,198.880005,199.330002,197.720001,198.289993,165.264694,2562300
8/15/2012,198.899994,199.330002,197.919998,198.399994,165.356415,2111800
8/16/2012,198.770004,201.320007,198.119995,200.839996,167.389954,2729500
8/17/2012,201.080002,202,200.660004,201.220001,167.70668,2551800
8/20/2012,200.690002,201.130005,200.029999,200.5,167.106628,2336000
8/21/2012,200.990005,201,198.369995,198.649994,165.564728,3111300
8/22/2012,198.639999,198.649994,196.899994,197.25,164.397903,3296100
8/23/2012,197.039993,197.369995,195.440002,195.699997,163.106079,2757400
8/24/2012,194.960007,198.110001,194.199997,197.770004,164.831253,2639500
8/27/2012,197.960007,198.300003,195.610001,195.690002,163.097733,2498800
8/28/2012,195.559998,196.110001,194.5,194.869995,162.414261,2539200
8/29/2012,195.130005,196.039993,194.899994,195.080002,162.58931,2141400
8/30/2012,194.770004,195.470001,193.179993,193.369995,161.164093,2740900
8/31/2012,194.309998,195.949997,193.460007,194.850006,162.397644,3193300
9/4/2012,196.610001,197.169998,193.25,194.539993,162.139267,4514400
9/5/2012,194.410004,195.850006,193.889999,195.039993,162.556015,3312500
9/6/2012,196.259995,199.460007,196.110001,199.100006,165.939758,3931700
9/7/2012,199.119995,199.5,198.080002,199.5,166.273132,3413700
9/10/2012,199.389999,201.820007,198.729996,200.949997,167.481644,4208000
9/11/2012,200.550003,203.460007,200.509995,203.270004,169.415268,3910600
9/12/2012,203.520004,204.649994,202.960007,203.770004,169.83197,3284000
9/13/2012,204.380005,206.809998,203.460007,206.360001,171.990585,3879600
9/14/2012,206.240005,207.649994,206.050003,206.809998,172.365662,4057100
9/17/2012,205.550003,207.990005,205.550003,207.149994,172.649048,3275100
9/18/2012,206.880005,207.880005,206.479996,207.070007,172.582352,2476100
9/19/2012,207.550003,207.570007,206.009995,206.429993,172.048965,2605600
9/20/2012,205.850006,206.990005,205.300003,206.179993,171.840622,3739100
9/21/2012,207.360001,207.940002,205.919998,205.979996,171.673965,12771500
9/24/2012,205.020004,206.059998,204.899994,205.289993,171.098816,3511100
9/25/2012,205.600006,207.320007,204.949997,204.979996,170.840485,3345200
9/26/2012,205.050003,205.979996,203.899994,204,170.023727,3423300
9/27/2012,204.369995,206.899994,204.139999,205.910004,171.615585,2771900
9/28/2012,205.660004,208.320007,205.309998,207.449997,172.899094,4910900
10/1/2012,208.009995,211.75,207.940002,210.470001,175.416092,5456900
10/2/2012,210.960007,211.470001,208.5,209.839996,174.891022,3321000
10/3/2012,209.940002,211.300003,209.300003,210.509995,175.449448,3192300
10/4/2012,210.279999,210.970001,208.529999,210.389999,175.349411,2957500
10/5/2012,211.149994,211.789993,210.059998,210.589996,175.516098,2858400
10/8/2012,210.020004,210.639999,209.210007,209.820007,174.874359,1982600
10/9/2012,209.949997,210.740005,207.699997,207.990005,173.349182,3580400
10/10/2012,207.820007,208.229996,205.050003,205.820007,171.540604,4024500
10/11/2012,206.570007,207.270004,205.630005,205.759995,171.49054,2910000
10/12/2012,205.639999,207.960007,205.559998,207.800003,173.190781,2712000
10/15/2012,208.880005,209.399994,207.820007,208.929993,174.132599,3060900
10/16/2012,209.940002,211,209.470001,211,175.85788,5632100
10/17/2012,201.210007,203.410004,198.550003,200.630005,167.214951,12673900
10/18/2012,199.910004,200.139999,194.070007,194.960007,162.48938,9295900
10/19/2012,195.289993,196.080002,193.179993,193.360001,161.155792,6620300
10/22/2012,193.710007,194.679993,192.440002,194.399994,162.022552,4402500
10/23/2012,193.529999,194,190.940002,191.25,159.397232,4427400
10/24/2012,192.440002,193.289993,190.559998,190.720001,158.95549,3738000
10/25/2012,191.410004,192.440002,190.710007,191.600006,159.688889,3249600
10/26/2012,191.490005,193.869995,191.470001,193.270004,161.080734,4006500
10/31/2012,194.800003,196.410004,193.630005,194.529999,162.13089,6052300
11/1/2012,194.679993,197.889999,194.550003,197.149994,164.31456,3758800
11/2/2012,197.529999,198,193.289993,193.429993,161.214111,4260100
11/5/2012,192.360001,194.970001,192.009995,194.139999,161.805893,2736200
11/6/2012,195.259995,196.75,194.679993,195.070007,162.580978,3281000
11/7/2012,193.360001,193.679993,191.160004,191.160004,160.01944,4746200
11/8/2012,191.399994,191.809998,190.089996,190.100006,159.132156,3542200
11/9/2012,189.850006,191.639999,188.880005,189.639999,158.747101,3671600
11/12/2012,190.029999,190.770004,187.410004,189.25,158.420609,3067400
11/13/2012,188.389999,190.880005,188.25,188.320007,157.642105,3406700
11/14/2012,189.139999,189.270004,185.279999,185.509995,155.289856,4404400
11/15/2012,185.830002,187.199997,184.779999,185.850006,155.574463,3411700
11/16/2012,186.330002,187.559998,185.100006,186.940002,156.486893,4660800
11/19/2012,188.619995,190.389999,188.300003,190.350006,159.341415,3588900
11/20/2012,189.880005,190.110001,188.25,189.199997,158.378769,3170200
11/21/2012,189.300003,190.889999,188.949997,190.289993,159.291214,5189600
11/23/2012,191,193.490005,190.800003,193.490005,161.969925,3877600
